id,program,topic,subtopic,difficulty,archetype,question_text,options,correct_answer,reasoning_skills,misconceptions,distractor_rationale,solution,coaching_hints,metadata,visual,blueprint_code,environment,review_status,is_active,visual_required,visual_type,created_at
waterloo_gauss_angle_deduction_fundamentals_part_a_202606010320531723,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In the diagram, ∠ABD = 35° and ∠DBC is unknown. What is the measure of ∠DBC?","{""A"":""35°"",""B"":""45°"",""C"":""55°"",""D"":""125°"",""E"":""145°""}",C,"[""Recognizing complementary angles"",""Applying right angle properties""]","[""Confusing complementary and supplementary angles"",""Assuming diagram is to scale""]","{""A"":""Mistakenly assumes ∠DBC equals ∠ABD without calculation."",""B"":""Incorrectly applies 90° - 35° = 55° then divides by 1.25."",""D"":""Calculates 180° - 35° instead of 90° - 35°."",""E"":""Subtracts 35° from 180° twice, ignoring the right angle context.""}","{""steps"":[""∠ABD + ∠DBC = 90° (right angle at B)"",""∠DBC = 90° - 35° = 55°""],""key_insight"":""Angles forming a right angle sum to 90°.""}","[""Look for the right angle symbol to identify complementary angles."",""Ask: Do these angles form a right angle or straight line?"",""Check if 35° + ? = 90° or 35° + ? = 180°.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T03:20:50.573195Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_abd"":35,""angle_dbc"":55,""diagram_type"":""right_angle_with_ray"",""target_angle"":""DBC""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 03:20:50.448482+00
waterloo_gauss_angle_deduction_fundamentals_part_a_202606010322274661,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In the diagram, ∠ABD = 35° and ∠ABC is a right angle. What is the measure of ∠DBC?","{""A"":""35°"",""B"":""55°"",""C"":""90°"",""D"":""125°"",""E"":""145°""}",B,"[""angle_property_deduction"",""complementary_angle_recognition""]","[""confusing_complementary_and_supplementary_angles"",""assuming_equal_angles_without_evidence""]","{""A"":""Assuming ∠DBC equals ∠ABD without evidence"",""B"":null,""C"":""Misidentifying ∠ABC as the target angle"",""D"":""Incorrectly adding ∠ABD to 90° instead of subtracting"",""E"":""Subtracting from 180° instead of 90°""}","{""steps"":[""Recognize that ∠ABD and ∠DBC form a right angle (∠ABC = 90°)"",""Calculate ∠DBC = 90° - 35° = 55°""],""key_insight"":""Complementary angles in a right angle sum to 90°""}","[""Identify which angles sum to 90°"",""Check if the diagram contains straight lines or right angles"",""Verify if angle relationships require 90° or 180°""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T03:22:23.688005Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_abd"":35,""angle_dbc"":""?"",""diagram_type"":""right_angle_with_ray"",""target_angle"":""DBC""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 03:20:53.358741+00
waterloo_gauss_angle_deduction_fundamentals_part_a_202606010324006190,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In the diagram, angle ABD forms a right angle with ray BD. If angle ABD = 35°, what is the measure of angle DBC?","{""A"":""35°"",""B"":""55°"",""C"":""65°"",""D"":""125°"",""E"":""145°""}",B,"[""Angle addition"",""Complementary angles""]","[""Confusing complementary and supplementary angles""]","{""A"":""Reuses the given angle ABD instead of calculating the complement"",""C"":""Adds 35° to an incorrectly assumed base value of 30°"",""D"":""Treats the right angle as a straight line (180°) and subtracts 55°"",""E"":""Subtracts 35° from 180° instead of 90°""}","{""steps"":[""Recognize that ABD and DBC form a right angle (90°)"",""Subtract 35° from 90° to find angle DBC""],""key_insight"":""Complementary angles sum to 90°""}","[""Look for right angle symbols in the diagram"",""Complementary angles add to 90°, supplementary angles add to 180°"",""Check if the two angles form a right angle or a straight line""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T03:23:57.957469Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_abd"":35,""angle_dbc"":55,""diagram_type"":""right_angle_with_ray"",""target_angle"":""DBC""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 03:22:27.633519+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011405131913,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,A list of numbers starts at 4 and increases by 7 each time. What is the 8th number in the list?,"{""A"":""53"",""B"":""56"",""C"":""59"",""D"":""62"",""E"":""65""}",A,"[""Use a repeating pattern, sequence rule, or cycle position to identify a term"",""Use arithmetic to find a missing value in a sequence""]","[""Off-by-one indexing"",""confusing increment with term value"",""starting count at zero incorrectly""]","{""A"":null,""B"":""Confusing the increment with the term value"",""C"":""Off-by-one indexing"",""D"":""Starting count at zero incorrectly"",""E"":""Incorrect multiplication of the increment""}","{""steps"":[""Start with 4 and add 7 for each term."",""The 8th term is 4 + 7 × (8 - 1) = 53.""],""key_insight"":""Recognize that the 8th term is the starting number plus 7 added 7 times.""}","[""List the first few numbers to identify the pattern."",""Check whether the count starts at 0 or 1."",""Verify the starting point and the increment separately.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T14:04:58.971140Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 14:04:58.822643+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011406120037,waterloo_gauss,number_sense,patterning,part_a,periodic_state_prediction,"A sequence begins 4, 11, 18, 25, ... What is the 12th term in the sequence?","{""A"":""77"",""B"":""81"",""C"":""88"",""D"":""92"",""E"":""95""}",B,"[""identifying patterns"",""applying rules"",""calculating terms""]","[""confusing increment with term value"",""off-by-one indexing"",""wrong cycle length""]","{""A"":""This is the result of using the step size (7) multiplied by 11 instead of applying the starting offset correctly."",""B"":null,""C"":""This is the result of using the step size (7) multiplied by 12 instead of applying the starting offset correctly."",""D"":""This is the result of misapplying the step size (7) and an incorrect offset."",""E"":""This is the result of adding an extra step size to an incorrect base term.""}","{""steps"":[""Identify the common difference in the sequence: 11 - 4 = 7."",""Use the formula for the nth term of an arithmetic sequence: a_n = a_1 + (n-1)d, where a_1 = 4, d = 7, and n = 12."",""Calculate the 12th term: 4 + (12-1) * 7 = 4 + 77 = 81.""],""key_insight"":""Recognize the sequence is arithmetic with a common difference of 7 and apply the formula for the nth term.""}","[""List the first few terms to identify the pattern."",""Determine the common difference between consecutive terms."",""Apply the arithmetic sequence formula with the correct starting value and difference.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T14:05:58.646827Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 14:05:13.427791+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011412187735,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,A sequence begins with 4 and increases by 7 each time. What is the 10th term of this sequence?,"{""A"":""63"",""B"":""67"",""C"":""70"",""D"":""74"",""E"":""77""}",B,"[""identifying patterns"",""using arithmetic sequences"",""applying indexing in sequences""]","[""confusing increment with term value"",""off-by-one indexing"",""starting count at zero incorrectly""]","{""A"":""This is the 9th term, not the 10th, due to an off-by-one indexing error."",""C"":""This is the 10th multiple of 7, but the sequence begins at 4, not 0."",""D"":""This is the 11th term if you incorrectly include the starting value as a step."",""E"":""This is the sum of the first 10 terms, not the 10th term itself.""}","{""steps"":[""The sequence is defined as 4 + (n-1) × 7, where n is the term position."",""For the 10th term: 4 + (10 - 1) × 7 = 4 + 63 = 67.""],""key_insight"":""The sequence starts at 4 and increases by 7 for each step.""}","[""List the first few terms to look for a pattern."",""Check if the sequence starts at zero or some other value."",""Use the formula for an arithmetic sequence: a + (n-1) × d.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T14:11:58.137111Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 14:11:57.996341+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011412399460,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,A sequence starts with 4 and each term is 7 more than the previous term. What is the 8th term of this sequence?,"{""A"":""49"",""B"":""53"",""C"":""56"",""D"":""60"",""E"":""63""}",B,"[""Use a sequence rule"",""Find a specific term by position""]","[""Off-by-one indexing"",""confusing increment with term value""]","{""A"":""This answer incorrectly treats the first term as 0 and adds 7 seven times instead of starting from 4."",""B"":null,""C"":""This answer is the 7th term if the first term is 0, or it incorrectly counts the starting term as the first addition."",""D"":""This answer adds 7 to 49 instead of 46, miscounting the number of steps from the starting term."",""E"":""This is a multiple of 7 that occurs two steps after the correct answer, suggesting a miscount of the starting position.""}","{""steps"":[""Identify the first term as 4 and the common difference as 7."",""Calculate the 8th term using the formula: 4 + 7*(8-1) = 4 + 49 = 53.""],""key_insight"":""Each term is generated by adding 7 to the previous term, starting from the initial value of 4, not 0.""}","[""List the first few terms to identify the pattern."",""Check whether the sequence starts at 1 or 0."",""Use the formula for the nth term of an arithmetic sequence: a + (n-1)*d.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T14:12:21.253505Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 14:12:19.06541+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011412570296,waterloo_gauss,number_sense,patterning,part_a,periodic_state_prediction,"A sequence starts with 4, and each term increases by 7. What is the 8th term in this sequence?","{""A"":""49"",""B"":""53"",""C"":""56"",""D"":""57"",""E"":""60""}",D,"[""pattern_recognition"",""arithmetic_progression""]","[""confusing_increment_with_term_value"",""off-by-one_indexing""]","{""A"":""This is the 7th term (7×7=49) but the sequence starts at 4."",""B"":""This is the 7th term (49) plus 4, which incorrectly adds the starting value twice."",""C"":""This is a multiple of 7 but misses the starting value of 4."",""D"":null,""E"":""This is the 8th multiple of 7 (7×8=56) plus 4, which is an unnecessary overcorrection.""}","{""steps"":[""List the first few terms: 4, 11, 18, 25, 32, 39, 46, 53."",""Recognize the pattern: 4 + (7×7) = 53.""],""key_insight"":""The 8th term is the starting value plus 7 times the number of jumps (7).""}","[""List the first few terms and look for the pattern."",""Remember to account for the starting value in the sequence."",""Check if your answer aligns with the sequence rule.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T14:12:42.335114Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 14:12:40.13549+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011413023441,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,"The sequence 4, 11, 18, 25, ... follows a pattern where each term increases by 7. What is the 20th term in this sequence?","{""A"":""133"",""B"":""137"",""C"":""140"",""D"":""147"",""E"":""154""}",B,"[""arithmetic_sequence_formula"",""index_offset_correction""]","[""confusing_increment_with_term_value"",""starting_count_at_zero_incorrectly""]","{""A"":""Multiplied the step size (7) by the term position (19) but forgot to add the starting value (4)"",""C"":""Used 20 × 7 instead of accounting for the starting value"",""D"":""Added an extra step (21 × 7) beyond the required position"",""E"":""Applied both an incorrect multiplier and offset""}","{""steps"":[""Identify the starting value (4) and common difference (7)"",""Apply the arithmetic sequence formula: a_n = 4 + (20 - 1) × 7 = 4 + 133 = 137""],""key_insight"":""The pattern starts at 4, not 0, so the formula must include the starting offset""}","[""List the first 5 terms to verify the pattern"",""Calculate 19 jumps of 7 and add the starting value"",""Check if the sequence starts counting from term 1 or term 0""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T14:12:59.401632Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 14:12:57.214589+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011413358296,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,A sequence starts with 4 and each term increases by 7. What is the 7th term?,"{""A"":""28"",""B"":""35"",""C"":""42"",""D"":""46"",""E"":""49""}",D,"[""arithmetic_sequences"",""indexing"",""linear_patterns""]","[""off-by-one_indexing"",""confusing_increment_with_term_value""]","{""A"":""Assumes the sequence starts at zero and calculates 7×4"",""B"":""Calculates 5×7 without accounting for the starting value of 4"",""C"":""Takes 6×7 and ignores the initial offset of 4"",""D"":null,""E"":""Calculates 7×7 as if the first term is 7×1""}","{""steps"":[""The sequence starts at 4 and adds 7 each time."",""The 7th term is 4 + 7×(7−1) = 4 + 42 = 46.""],""key_insight"":""Use the formula for arithmetic sequences: first term + step size × (position − 1).""}","[""List the first few terms: 4, 11, 18, ..."",""Does the pattern start at zero or have an offset?"",""What is the relationship between term number and value?""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T14:13:04.720138Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 14:13:02.531577+00
