id,program,topic,subtopic,difficulty,archetype,question_text,options,correct_answer,reasoning_skills,misconceptions,distractor_rationale,solution,coaching_hints,metadata,visual,blueprint_code,environment,review_status,is_active,visual_required,visual_type,created_at
waterloo_gauss_visual_data_extraction_part_a_0001,waterloo_gauss,data_analysis,graphs,part_a,visual_data_retrieval,The bar graph shows the number of books read by students in different months. Which month had the highest number of books read?,"{""A"":""September"",""B"":""October"",""C"":""November"",""D"":""December"",""E"":""August""}",D,"[""Reading a bar graph"",""Comparing values""]","[""Reading wrong axis"",""Confusing categories"",""Ignoring scale intervals""]","{""A"":""September has the lowest number of books read, not the highest."",""B"":""October had the second-highest number, but not the highest."",""C"":""November's value is lower than October's and December's."",""E"":""August is not shown on the graph; December is the correct month.""}","{""steps"":[""Identify the tallest bar on the graph (December)."",""Confirm its value (40) is higher than all other months.""],""key_insight"":""The tallest bar corresponds to the highest number of books read.""}","[""Look at the y-axis to see the scale increments."",""Find the tallest bar on the graph."",""Match the tallest bar to its corresponding month label on the x-axis.""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T04:38:20.564699Z"",""blueprint_code"":""visual_data_extraction""}","{""spec"":{""title"":""Number of Books Read by Students in Fall 2023"",""values"":[25,35,30,40],""y_scale"":[0,10,20,30,40,50],""x_labels"":[""September"",""October"",""November"",""December""],""y_axis_label"":""Number of Books""},""type"":""bar_graph"",""required"":true}",visual_data_extraction,dev,draft,true,true,bar_graph,2026-05-31 04:38:20.564699+00
waterloo_gauss_magnitude_proximity_benchmarking_part_a_202605311511559515,waterloo_gauss,number_sense,decimals,part_a,quantitative_anchoring,Which of the following is closest to 0.5?,"{""A"":""1/3"",""B"":""1/2"",""C"":""3/5"",""D"":""2/5"",""E"":""5/8""}",B,"[""Benchmark comparison"",""Fraction-to-decimal conversion"",""Magnitude estimation""]","[""Comparing digit count instead of value"",""Using wrong benchmark"",""Ignoring equal partitions""]","{""A"":""1/3 ≈ 0.333 is much smaller than 0.5"",""C"":""3/5 = 0.6 is 0.1 greater than 0.5"",""D"":""2/5 = 0.4 is 0.1 smaller than 0.5"",""E"":""5/8 = 0.625 is 0.125 greater than 0.5""}","{""steps"":[""Convert all fractions to decimals: A=0.333, B=0.5, C=0.6, D=0.4, E=0.625"",""Calculate the difference from 0.5: B is exactly 0.5 (difference = 0)""],""key_insight"":""Recognizing that 1/2 is the exact benchmark value (0.5) simplifies comparison""}","[""Convert all options to decimals for easier comparison"",""Calculate how far each value is from 0.5"",""Look for the value with the smallest difference""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T15:11:52.364995Z"",""blueprint_code"":""magnitude_proximity_benchmarking""}","{""spec"":{},""type"":""none"",""required"":false}",magnitude_proximity_benchmarking,dev,draft,true,false,none,2026-05-31 15:11:52.364995+00
waterloo_gauss_arithmetic_progression_membership_part_a_0001,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,"A pattern starts with 4, 7, 10 and repeats every 3 numbers: 4, 7, 10, 4, 7, 10, ... What is the 20th number in this sequence?","{""A"":""4"",""B"":""7"",""C"":""10"",""D"":""1"",""E"":""3""}",B,"[""Identify repeating patterns"",""Apply division to find cycle position"",""Map cycle position to term value""]","[""Off-by-one indexing"",""wrong cycle length"",""confusing increment with term value""]","{""A"":""This is the first term in the cycle, but the 20th position falls on the second term."",""B"":""Correct answer: 20 ÷ 3 = 6 remainder 2, so the second term in the cycle is 7."",""C"":""This is the third term in the cycle, but the remainder is 2, not 0."",""D"":""This answer results from incorrect addition or miscounting the cycle."",""E"":""This answer results from adding the cycle length instead of tracking positions.""}","{""steps"":[""Identify the cycle length: 3 terms (4, 7, 10)"",""Calculate 20 ÷ 3: 6 full cycles with remainder 2"",""The remainder 2 corresponds to the second term in the cycle (7)""],""key_insight"":""Use division to find the position within the repeating cycle.""}","[""List the first 10 terms to observe the repeating pattern."",""Divide the term position by the cycle length and analyze the remainder.""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T01:23:03.735375Z"",""blueprint_code"":""arithmetic_progression_membership""}",null,arithmetic_progression_membership,dev,draft,true,false,null,2026-05-31 01:23:03.735375+00
waterloo_gauss_angle_deduction_fundamentals_part_a_0001,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In triangle ABC, angle A measures 60° and angle B measures 50°. Point D lies on the extension of side BC beyond point C. What is the measure of angle x (angle ACD)?","{""A"":""50°"",""B"":""60°"",""C"":""70°"",""D"":""100°"",""E"":""110°""}",E,"[""Apply triangle angle sum"",""Use supplementary angles""]","[""Confusing complementary and supplementary angles"",""forgetting triangle angle sum"",""assuming diagram is to scale""]","{""A"":""Angle B is mistakenly used as the answer instead of angle x."",""B"":""Angle A is incorrectly applied to angle x without proper deduction."",""C"":""Angle at point C is found but not extended to consider angle x."",""D"":""An arithmetic error occurs in subtracting angle C from 180°."",""E"":""Correct application of triangle angle sum and supplementary angles.""}","{""steps"":[""Calculate angle C: 180° - 60° - 50° = 70°"",""Recognize that angle ACD is a straight line: 180° - 70° = 110°""],""key_insight"":""Use triangle angle sum to find angle C, then apply supplementary angle properties.""}","[""Start by finding the measure of angle C in triangle ABC."",""Remember that angles on a straight line add to 180 degrees."",""Subtract angle C from 180° to find angle x.""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T12:50:49.604058Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angles"":[{""vertex"":""A"",""measure"":60},{""vertex"":""B"",""measure"":50},{""vertex"":""D"",""measure"":""x""}],""labels"":[""A"",""B"",""C"",""D""],""shapes"":[""triangle ABC"",""extension of BC to D""],""description"":""Triangle ABC with angle A = 60°, angle B = 50°, and side BC extended to point D. Angle ACD is labeled as x.""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-05-31 12:50:49.604058+00
waterloo_gauss_angle_deduction_fundamentals_part_a_0002,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In triangle ABC, point D lies on the extension of side BC such that angle CBD is 115°. If angle BAC measures 35°, what is the measure of angle ACB?","{""A"":""65°"",""B"":""80°"",""C"":""115°"",""D"":""35°"",""E"":""95°""}",B,"[""Apply supplementary angle relationships"",""Use triangle angle sum theorem""]","[""Confusing complementary and supplementary angles"",""Assuming diagram is to scale"",""Forgetting triangle angle sum""]","{""A"":""Incorrectly assumes angle ABC is 115° instead of calculating its supplementary angle"",""C"":""Repeats the given exterior angle instead of calculating the interior angle"",""D"":""Misidentifies angle BAC as the missing angle"",""E"":""Adds 115° and 35° instead of calculating supplementary angles""}","{""steps"":[""Calculate interior angle at B: 180° - 115° = 65°"",""Use triangle angle sum: 180° - 35° - 65° = 80°""],""key_insight"":""Exterior angles form supplementary pairs with adjacent interior angles""}","[""What type of angle relationship exists between CBD and ABC?"",""What is the total sum of angles in triangle ABC?"",""Subtract known angles from 180° to find the missing angle""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T12:51:32.853423Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""labels"":{""angle_labels"":[{""size"":""small"",""text"":""35°"",""location"":""BAC""},{""size"":""small"",""text"":""115°"",""location"":""CBD""},{""size"":""large"",""text"":""?"",""location"":""ACB""}]},""shapes"":[{""type"":""triangle"",""points"":[{""x"":1,""y"":5,""label"":""A""},{""x"":1,""y"":1,""label"":""B""},{""x"":5,""y"":1,""label"":""C""}]},{""type"":""line"",""points"":[{""x"":1,""y"":1,""label"":""B""},{""x"":-1,""y"":1,""label"":""D""}]}],""description"":""Triangle ABC with point D extending from BC. Angle CBD is marked 115°, angle BAC is marked 35°, and angle ACB is labeled '?'""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-05-31 12:51:32.853423+00
waterloo_gauss_angle_deduction_fundamentals_part_a_0003,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In the diagram, triangle ABC is isosceles with AB = AC and angle BAC = 100°. Point D lies on the extension of BC past C. What is the measure of angle ACD?","{""A"":""40°"",""B"":""80°"",""C"":""100°"",""D"":""120°"",""E"":""140°""}",E,"[""Applying triangle angle sum theorem"",""Using supplementary angles on a straight line""]","[""Confusing supplementary and triangle angle sums"",""Assuming equal angles without evidence"",""Forgetting triangle angle sum""]","{""A"":""This is the correct base angle of the isosceles triangle, but it ignores the supplementary angle at point C."",""B"":""This might result from subtracting 100° from 180° without considering triangle properties."",""C"":""This is the given angle at A, not at C."",""D"":""This could arise from adding 100° and 40° instead of using supplementary angles."",""E"":""Correct. Calculated by finding base angles (40°) and using supplementary angles (180° - 40°).""}","{""steps"":[""Calculate the base angles of isosceles triangle ABC: (180° - 100°) / 2 = 40°"",""Use supplementary angles at point C: 180° - 40° = 140°""],""key_insight"":""The base angles of an isosceles triangle are equal, and angles on a straight line sum to 180°""}","[""Start by finding the base angles of triangle ABC."",""Check for supplementary angles at point C."",""Combine both triangle and line angle rules.""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T12:52:02.085262Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angles"":[{""point"":""A"",""value"":100},{""point"":""B"",""value"":40},{""point"":""C"",""value"":40},{""point"":""ACD"",""value"":140}],""shapes"":[{""type"":""triangle"",""points"":[{""x"":0,""y"":0,""label"":""A""},{""x"":-2,""y"":4,""label"":""B""},{""x"":2,""y"":4,""label"":""C""}]},{""type"":""line"",""points"":[{""x"":2,""y"":4,""label"":""C""},{""x"":5,""y"":4,""label"":""D""}]}],""description"":""Triangle ABC with AB = AC. Angle BAC is labeled 100°. Point D extends BC past C, forming a straight line from C to D.""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-05-31 12:52:02.085262+00
waterloo_gauss_angle_deduction_fundamentals_part_a_0004,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In isosceles triangle ABC (AB = AC), angle BAC is 40°. Point D lies on the extension of BC such that CD = BC. What is the measure of angle BCD?","{""A"":""70°"",""B"":""80°"",""C"":""100°"",""D"":""110°"",""E"":""120°""}",D,"[""Apply triangle angle sum theorem"",""Identify supplementary angles"",""Recognize isosceles triangle properties""]","[""Confusing complementary and supplementary angles"",""Assuming diagram is to scale"",""Forgetting triangle angle sum""]","{""A"":""Correctly calculates base angle of triangle but selects interior angle instead of exterior angle"",""B"":""Miscalculates triangle angle sum as 160° instead of 180°"",""C"":""Adds 40° to 60° from incorrectly assumed equilateral triangle"",""D"":""Correctly calculates exterior angle using supplementary rule"",""E"":""Assumes all angles in diagram are multiples of 30°""}","{""steps"":[""Calculate base angles of isosceles triangle: (180° - 40°)/2 = 70°"",""Recognize angle BCD forms straight line with 70° angle: 180° - 70° = 110°""],""key_insight"":""Exterior angle at C forms supplementary pair with triangle's base angle""}","[""What is the sum of angles in triangle ABC?"",""What type of angle relationship exists between angles BCD and ACB?"",""Remember AB = AC means base angles are equal""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T12:53:17.158493Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angles"":[{""label"":""40°"",""points"":[""B"",""A"",""C""]}],""labels"":[{""point"":""A"",""position"":[0,2]},{""point"":""B"",""position"":[-1,0]},{""point"":""C"",""position"":[1,0]},{""point"":""D"",""position"":[2,0]}],""shapes"":[{""type"":""triangle"",""points"":[""A"",""B"",""C""],""properties"":{""AB"":""equal"",""AC"":""equal""}},{""type"":""line"",""points"":[""B"",""C"",""D""]}],""description"":""Isosceles triangle ABC with AB = AC, point D extending from C through B""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-05-31 12:53:17.158493+00
waterloo_gauss_angle_deduction_fundamentals_part_a_0005,waterloo_gauss,geometry_and_measurement,null,part_a,angle_property_deduction,"In triangle ABC, angle A is 40° and angle B is 70°. Point D lies on the extension of BC such that CD is a straight line. What is the measure of angle ACD?","{""A"":""70°"",""B"":""110°"",""C"":""180°"",""D"":""50°"",""E"":""130°""}",B,"[""Apply triangle angle sum theorem"",""Use supplementary angles""]","[""Confusing interior and exterior angles"",""assuming diagram is to scale"",""forgetting triangle angle sum""]","{""A"":""This is the measure of angle C inside the triangle. The question asks for the exterior angle ACD, which is supplementary to angle C."",""C"":""Assumes the straight line CD forms a 180° angle with AC without considering the triangle's angles."",""D"":""Incorrectly subtracts angles (e.g., 180 - 40 -70 = 70, then subtracts 120 again)."",""E"":""Miscalculates the supplementary angle by using angle A instead of angle C.""}","{""steps"":[""Calculate angle C in triangle ABC: 180° - 40° - 70° = 70°"",""Since angles C and ACD form a straight line, angle ACD = 180° - 70° = 110°""],""key_insight"":""Apply the triangle angle sum theorem to find angle C, then use supplementary angles to find the exterior angle.""}","[""First, find the measure of angle C in triangle ABC."",""Remember that angles forming a straight line add up to 180°."",""Use the triangle angle sum theorem (sum of angles in a triangle is 180°).""]",null,"{""spec"":{""shapes"":[{""type"":""triangle"",""points"":[{""x"":0,""y"":0,""label"":""A""},{""x"":4,""y"":0,""label"":""B""},{""x"":1,""y"":3,""label"":""C""}]},{""type"":""line"",""points"":[{""x"":1,""y"":3,""label"":""C""},{""x"":1,""y"":1,""label"":""D""}]}],""description"":""Triangle ABC with angle A = 40° and angle B = 70°, and a line CD extending from point C to form a straight line with BC. Points A, B, C, and D are labeled.""},""type"":""geometry_diagram"",""required"":true}",null,dev,draft,true,true,geometry_diagram,null
waterloo_gauss_angle_deduction_fundamentals_part_a_202605311336474589,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In triangle ABC, AB = AC and angle ABC = 50°. Point D lies on the extension of BC such that CD is a straight line. What is the measure of angle ACD?","{""A"":""100°"",""B"":""120°"",""C"":""130°"",""D"":""80°"",""E"":""50°""}",C,"[""Identify isosceles triangle properties"",""Apply triangle angle sum theorem"",""Use supplementary angles""]","[""Confusing complementary and supplementary angles"",""Assuming diagram is to scale"",""Forgetting triangle angle sum""]","{""A"":""Adds angles at B and C instead of applying exterior angle theorem"",""B"":""Incorrectly calculates angle at A as 70° instead of 80°"",""D"":""Selects angle at A instead of the exterior angle"",""E"":""Reuses given angle at B instead of calculating ACD""}","{""steps"":[""Since AB = AC, triangle ABC is isosceles with ∠ABC = ∠ACB = 50°"",""The third angle ∠BAC = 180° - 50° - 50° = 80°"",""∠ACD is supplementary to ∠ACB: 180° - 50° = 130°""],""key_insight"":""Use isosceles triangle properties and supplementary angles to find the exterior angle.""}","[""Start by identifying if triangle ABC is isosceles or equilateral."",""Calculate all interior angles of triangle ABC first."",""Remember that angles on a straight line sum to 180°.""]",null,"{""spec"":{""shapes"":[{""type"":""triangle"",""lines"":[{""label"":""AB"",""points"":[""A"",""B""]},{""label"":""BC"",""points"":[""B"",""C""]}],""points"":[{""x"":0,""y"":5,""label"":""A""},{""x"":-3,""y"":0,""label"":""B""},{""x"":3,""y"":0,""label"":""C""}]}],""description"":""Triangle ABC with AB=AC, angle ABC labeled 50°, and extension CD forming a straight line with BC""},""type"":""geometry_diagram"",""required"":true}",null,dev,draft,true,true,geometry_diagram,null
waterloo_gauss_angle_deduction_fundamentals_part_a_202605311337374685,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In triangle ABC, angle B measures 50°, and point D lies on the extension of side BC such that angle BCD measures 120°. What is the measure of angle A?","{""A"":""50°"",""B"":""60°"",""C"":""70°"",""D"":""80°"",""E"":""90°""}",C,"[""Apply supplementary angle relationships"",""Use triangle angle sum theorem""]","[""Confusing complementary and supplementary angles"",""Forgetting triangle angle sum""]","{""A"":""Uses given angle B instead of calculating angle C first"",""B"":""Correctly finds angle C (180-120) but stops without completing triangle sum"",""C"":""Correct answer using both supplementary and triangle angle sum rules"",""D"":""Adds angles B and C (50+60) then subtracts from 180 incorrectly"",""E"":""Assumes a right angle exists without visual evidence""}","{""steps"":[""Calculate angle C using supplementary angles: 180° - 120° = 60°"",""Apply triangle angle sum: 180° - 50° - 60° = 70°""],""key_insight"":""Connect exterior angle to interior angle then use triangle sum property""}","[""Find angle C first using the straight line relationship"",""Remember the sum of angles in any triangle is 180°"",""Calculate remaining angles step-by-step""]","{""source"":""ai_generated"",""created_at"":""2026-05-31T13:37:33.757797Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angles"":[{""label"":""50°"",""points"":[""A"",""B"",""C""]},{""label"":""120°"",""points"":[""B"",""C"",""D""]}],""labels"":[{""label"":""A"",""position"":[0,5]},{""label"":""B"",""position"":[-3,0]},{""label"":""C"",""position"":[3,0]},{""label"":""D"",""position"":[6,0]}],""shapes"":[{""type"":""triangle"",""points"":[""A"",""B"",""C""]},{""type"":""line"",""points"":[""C"",""D""]}],""description"":""Triangle ABC with point D extending from BC. Angle B = 50°, angle BCD = 120°, and all points labeled""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-05-31 13:37:33.757797+00
